case,single_dice,ensemble_dice,delta_dice,single_hd95_mm,ensemble_hd95_mm,delta_hd95_mm
PAR0209,0.8694,0.8714,0.0020000000000000018,3.29,3.15,-0.14000000000000012
PAR0210,0.8309,0.8211,-0.00979999999999992,3.5300000000000002,3.58,0.04999999999999982
PAR0211,0.8979,0.9112,0.013299999999999979,3.0,2.18,-0.8199999999999998
PAR0212,0.6131,0.6282,0.015100000000000002,7.265000000000001,7.17,-0.09500000000000064
PAR0213,0.8015,0.8156,0.014100000000000001,3.26,3.045,-0.21499999999999986
PAR0214,0.8261,0.8168,-0.009299999999999975,3.435,3.535,0.10000000000000009
PAR0215,0.7289,0.7667,0.037800000000000056,5.77,5.015000000000001,-0.754999999999999
PAR0216,0.8527,0.8609,0.008199999999999985,4.65,3.62,-1.0300000000000002
PAR0217,0.8622,0.849,-0.01319999999999999,4.09,3.695,-0.395
PAR0218,0.7171,0.7373,0.020199999999999996,9.885,9.815,-0.07000000000000028
PAR0219,0.7827,0.7706,-0.0121,5.6850000000000005,6.045,0.35999999999999943
PAR0220,0.8755,0.8754,-9.999999999998899e-05,4.79,4.76,-0.03000000000000025
PAR0221,0.8565,0.8613,0.0047999999999999154,4.76,4.5,-0.2599999999999998
PAR0222,0.8436,0.8511,0.007499999999999951,4.720000000000001,3.8249999999999997,-0.8950000000000009
PAR0223,0.5645,0.5767,0.012199999999999989,12.08,12.0,-0.08000000000000007
PAR0224,0.8621,0.8473,-0.014799999999999924,4.779999999999999,7.04,2.2600000000000007
PAR0225,0.8318,0.8236,-0.008199999999999985,9.02,9.1,0.08000000000000007
PAR0226,0.7673,0.7934,0.026100000000000012,8.705,7.975,-0.7300000000000004
PAR0227,0.7745,0.7662,-0.008299999999999974,6.595000000000001,7.324999999999999,0.7299999999999986
PAR0228,0.9198,0.9162,-0.0035999999999999366,3.0,3.045,0.04499999999999993
PAR0229,0.8656,0.8768,0.011199999999999988,3.5999999999999996,2.835,-0.7649999999999997
PAR0230,0.8613,0.8614,0.00010000000000010001,3.82,4.115,0.2950000000000004
PAR0231,0.8996,0.9069,0.007300000000000084,2.965,2.76,-0.20500000000000007
PAR0232,0.8676,0.8742,0.006599999999999939,3.52,3.4,-0.1200000000000001
PAR0233,0.8283,0.8381,0.00979999999999992,4.59,4.5,-0.08999999999999986
PAR0234,0.8892,0.8765,-0.012700000000000045,2.67,3.08,0.41000000000000014
PAR0235,0.8971,0.9097,0.012599999999999945,3.0,2.59,-0.41000000000000014
PAR0236,0.9008,0.9107,0.009899999999999909,3.045,2.59,-0.45500000000000007
PAR0237,0.8691,0.8431,-0.026000000000000023,3.29,5.08,1.79
PAR0238,0.6577,0.6024,-0.055299999999999905,13.89,17.405,3.5150000000000006
PAR0239,0.7154,0.6962,-0.019199999999999995,9.0,9.68,0.6799999999999997
PAR0241,0.7646,0.7896,0.025000000000000022,11.934999999999999,8.6,-3.334999999999999
PAR0242,0.7864,0.7615,-0.024900000000000033,3.83,5.595,1.7649999999999997
PAR0243,0.9012,0.9084,0.007199999999999984,2.9749999999999996,2.59,-0.3849999999999998
PAR0244,0.8443,0.8415,-0.0028000000000000247,4.42,4.94,0.5200000000000005
PAR0245,0.8168,0.824,0.007199999999999984,4.58,4.220000000000001,-0.35999999999999943
PAR0246,0.8037,0.8344,0.03070000000000006,6.42,4.465,-1.955
PAR0247,0.7791,0.7922,0.0131,5.96,5.595,-0.3650000000000002
PAR0248,0.8412,0.843,0.0018000000000000238,4.904999999999999,4.109999999999999,-0.7949999999999999
PAR0249,0.8856,0.8935,0.007899999999999907,3.0,2.88,-0.1200000000000001
PAR0250,0.7417,0.7141,-0.02760000000000007,4.79,6.29,1.5
PAR0251,0.8477,0.8419,-0.005800000000000027,4.125,4.46,0.33499999999999996
PAR0252,0.8599,0.8687,0.00880000000000003,3.26,3.045,-0.21499999999999986
