Epoch,Train_Loss,Val_Loss,Train_Dice,Val_Dice
3,0.1067,0.1695,0.211,0.336
4,0.1017,0.172,0.2011,0.3407
5,0.0967,0.1696,0.1912,0.3359
6,0.0926,0.1663,0.1832,0.3297
7,0.0894,0.1722,0.1769,0.3413
8,0.0865,0.1691,0.1711,0.3352
9,0.0838,0.1809,0.1657,0.3588
10,0.08,0.1637,0.1584,0.3243
11,0.0757,0.1665,0.1497,0.3299
12,0.0718,0.1641,0.1421,0.3253
13,0.068,0.1659,0.1346,0.3286
14,0.0644,0.1696,0.1273,0.3361
15,0.0605,0.1987,0.1197,0.394
16,0.0574,0.1741,0.1136,0.3449
17,0.0495,0.1667,0.098,0.3299
18,0.0455,0.1687,0.09,0.3339
19,0.0424,0.1713,0.0838,0.3386
20,0.0397,0.1781,0.0785,0.3526
